Timestamp,Pelvis_position_x,Pelvis_position_y,Pelvis_position_z,Pelvis_extension,Pelvis_lateral_flexion_rotation,Pelvis_axial_rotation,Chest_position_x,Chest_position_y,Chest_position_z,Thorax_extension,Thorax_lateral_flexion_rotation,Thorax_axial_rotation,Head_position_x,Head_position_y,Head_position_z,Neck_flexion,Neck_left-ward_tilt,Neck_right-ward_rotation,LeftUpperLeg_position_x,LeftUpperLeg_position_y,LeftUpperLeg_position_z,LeftHip_flexion,LeftHip_adduction,LeftHip_external_rotation,LeftLowerLeg_position_x,LeftLowerLeg_position_y,LeftLowerLeg_position_z,LeftKnee_flexion,LeftKnee_adduction,LeftKnee_external_rotation,LeftFoot_position_x,LeftFoot_position_y,LeftFoot_position_z,LeftAnkle_dorsiflexion,LeftAnkle_inversion,LeftAnkle_internal_rotation,RightUpperLeg_position_x,RightUpperLeg_position_y,RightUpperLeg_position_z,RightHip_flexion,RightHip_adduction,RightHip_external_rotation,RightLowerLeg_position_x,RightLowerLeg_position_y,RightLowerLeg_position_z,RightKnee_flexion,RightKnee_adduction,RightKnee_external_rotation,RightFoot_position_x,RightFoot_position_y,RightFoot_position_z,RightAnkle_dorsiflexion,RightAnkle_inversion,RightAnkle_internal_rotation,LeftShoulder_position_x,LeftShoulder_position_y,LeftShoulder_position_z,LeftUpperArm_position_x,LeftUpperArm_position_y,LeftUpperArm_position_z,LeftShoulder_flexion,LeftShoulder_abduction,LeftShoulder_external_rotation,LeftElbow_flexion,LeftElbow_abduction,LeftElbow_pronation,RightShoulder_position_x,RightShoulder_position_y,RightShoulder_position_z,RightUpperArm_position_x,RightUpperArm_position_y,RightUpperArm_position_z,RightShoulder_flexion,RightShoulder_abduction,RightShoulder_external_rotation,RightElbow_flexion,RightElbow_abduction,RightElbow_pronation,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,LeftWrist_flexion,LeftWrist_adduction,LeftWrist_pronation,RightHand_position_x,RightHand_position_y,RightHand_position_z,RightWrist_flexion,RightWrist_adduction,RightWrist_pronation
0.0,-0.7719935,0.599203,-0.5633335,17.38611,9.001449,21.18505,-0.8002795,0.9303715,-0.6292208,-4.266913,-1.990408,-3.601359,-0.7852284,1.229526,-0.6159726,-10.37248,-3.816584,13.3288,-0.8436391,0.5967729,-0.5331123,55.36392,15.1142,0.5650989,-0.7900162,0.488414,-0.1362023,78.83086,-0.06647915,-0.04845664,-0.805987,0.07371303,-0.163048,5.545775,-0.6666652,-11.73945,-0.7003478,0.6016331,-0.5935546,4.308299,34.51487,34.99878,-0.42133,0.2961851,-0.5618481,72.23102,37.17106,-22.78528,-0.4751369,0.07346971,-0.9089148,55.04718,26.62484,10.12425,-0.8647268,1.050766,-0.6060929,-0.9881502,1.058152,-0.6438347,-16.38258,11.58876,16.23835,38.03622,-3.36e-05,40.44693,-0.7298421,1.045459,-0.5979708,-0.6022622,1.037898,-0.6174263,17.38623,6.201184,-16.02245,76.90224,-0.000123923,-50.96906,-1.136642,0.5892662,-0.7221438,-22.24814,-16.34292,-3.234585,-0.6067997,0.8021969,-0.2785739,14.43377,1.263489,-0.1594904
17.0,-0.772004,0.5992065,-0.5633552,17.39889,9.005548,21.19331,-0.8003108,0.9303578,-0.6292902,-4.261172,-1.988613,-3.597062,-0.7852878,1.229516,-0.6160654,-10.36553,-3.788501,13.53317,-0.8436448,0.596782,-0.5331222,55.347,15.12858,0.5702693,-0.7900685,0.4884119,-0.136209,78.82574,-0.07733957,-0.03426402,-0.8059821,0.07370764,-0.1630386,5.536296,-0.6765075,-11.72844,-0.7003632,0.601631,-0.5935882,4.306298,34.51873,34.9936,-0.4213184,0.2962084,-0.5618754,72.23104,37.17493,-22.78852,-0.4751349,0.07346302,-0.9089215,55.04297,26.62462,10.12933,-0.8647609,1.050752,-0.6061694,-0.9881847,1.058144,-0.6439086,-16.57109,11.59423,16.27417,38.15038,-2.38e-05,40.41109,-0.7298754,1.045451,-0.5980565,-0.6023036,1.037867,-0.6175565,17.39672,6.261875,-16.04033,76.82056,-0.000117414,-50.89187,-1.136694,0.5895455,-0.722813,-21.87757,-16.26234,-3.163536,-0.6064361,0.802064,-0.2784865,14.39734,1.145826,-0.14537
33.0,-0.7720289,0.5992374,-0.5633494,17.41308,9.009375,21.20093,-0.8003848,0.9303706,-0.6293325,-4.255884,-1.978244,-3.589378,-0.7854178,1.229533,-0.6161252,-10.35723,-3.779036,13.75383,-0.8436652,0.5968193,-0.5331054,55.32481,15.1421,0.5784457,-0.790137,0.4884113,-0.136196,78.8194,-0.08912858,-0.03426402,-0.8059775,0.0737046,-0.1630308,5.528681,-0.6891999,-11.71711,-0.7003926,0.6016555,-0.5935935,4.298969,34.52558,34.98874,-0.4213182,0.2962578,-0.5619022,72.22522,37.17434,-22.79179,-0.4751371,0.07346958,-0.9089203,55.03581,26.63034,10.13739,-0.8648551,1.050755,-0.6062145,-0.9882859,1.058185,-0.6439233,-16.92165,11.55703,16.14509,38.29136,-6.5e-06,40.13953,-0.7299676,1.04548,-0.5981172,-0.602408,1.03788,-0.6176908,17.4036,6.328588,-16.07204,76.72522,-0.000110719,-50.84655,-1.136109,0.589749,-0.7237436,-21.61301,-16.17774,-3.107909,-0.6060707,0.8019029,-0.2784061,14.40973,1.079241,-0.1370561
50.0,-0.7720376,0.5992836,-0.5633473,17.42775,9.012238,21.20861,-0.8004616,0.9303989,-0.6293854,-4.24833,-1.962298,-3.56123,-0.7855862,1.229568,-0.6162159,-10.35596,-3.764606,13.98525,-0.8436697,0.5968733,-0.5330925,55.30042,15.15807,0.5898349,-0.7902116,0.4884157,-0.1361872,78.8112,-0.1003688,-0.01978234,-0.8059757,0.07370639,-0.163027,5.521055,-0.7005052,-11.7042,-0.7004056,0.601694,-0.5936021,4.29432,34.53026,34.98525,-0.4213116,0.2963145,-0.5619069,72.22556,37.17871,-22.79403,-0.4751499,0.07349986,-0.9089051,55.03133,26.63035,10.14311,-0.8649588,1.050765,-0.606251,-0.9884053,1.058281,-0.6438917,-17.43745,11.45389,15.77079,38.40236,-1.76e-05,39.65395,-0.7300658,1.045534,-0.5982165,-0.6025246,1.037953,-0.6179168,17.4254,6.390435,-16.11636,76.61633,-0.000127436,-50.86901,-1.134445,0.589696,-0.725068,-21.48259,-16.08745,-3.071222,-0.6055794,0.8017904,-0.2783786,14.45794,1.046436,-0.1312212
67.0,-0.7720067,0.5992698,-0.5634279,17.44167,9.014989,21.22403,-0.8004971,0.9303681,-0.6295382,-4.234708,-1.948546,-3.519754,-0.7857237,1.229545,-0.6164575,-10.37172,-3.726142,14.22386,-0.8436307,0.5968705,-0.5331532,55.28374,15.18398,0.6036074,-0.7902642,0.4884191,-0.1362339,78.80308,-0.107342,-0.02797646,-0.8059733,0.07370412,-0.1630184,5.506909,-0.7053858,-11.68987,-0.7003826,0.6016691,-0.5937026,4.306798,34.52898,34.9635,-0.4212709,0.2963141,-0.5619273,72.24229,37.18428,-22.7896,-0.4751465,0.07348986,-0.9089135,55.03413,26.62279,10.14503,-0.8650133,1.050721,-0.606384,-0.9884695,1.058357,-0.6439682,-18.06422,11.25575,15.37429,38.79186,-1.53e-05,38.95518,-0.7301132,1.04553,-0.5984433,-0.6025985,1.037987,-0.6183294,17.48771,6.459711,-16.1787,76.4977,-0.000129826,-50.84256,-1.132329,0.5898516,-0.7258747,-21.23821,-15.89173,-2.998134,-0.6048686,0.8017359,-0.2784361,14.48054,1.022332,-0.1297215
83.0,-0.7718596,0.5992374,-0.5635498,17.45489,9.021397,21.24921,-0.8004635,0.9303179,-0.6297476,-4.214635,-1.926364,-3.452186,-0.7858412,1.229508,-0.6168,-10.39652,-3.685714,14.46049,-0.8434702,0.5968489,-0.5332423,55.26777,15.23051,0.6196041,-0.79027,0.4884208,-0.1362943,78.7958,-0.1101474,-0.03426402,-0.8059701,0.07370085,-0.1630075,5.484837,-0.7066967,-11.67474,-0.7002491,0.601626,-0.5938572,4.323637,34.51398,34.93867,-0.4211667,0.2962556,-0.5619729,72.26392,37.19733,-22.78275,-0.4751242,0.07343549,-0.908949,55.04343,26.60574,10.14367,-0.86501,1.050647,-0.6065568,-0.9884659,1.058416,-0.6441151,-18.80903,10.94339,15.07321,39.60873,-2.57e-05,38.20145,-0.7300984,1.045523,-0.5987692,-0.6026189,1.03803,-0.6188982,17.61496,6.53345,-16.25842,76.35033,-0.000113744,-50.79134,-1.129923,0.590472,-0.7258027,-21.49862,-15.68698,-2.996109,-0.6039338,0.8017509,-0.2785108,14.50143,1.024255,-0.1297215
100.0,-0.7718297,0.5992489,-0.5635834,17.46589,9.030834,21.27711,-0.8005799,0.9303128,-0.6298714,-4.191617,-1.897879,-3.373478,-0.7861237,1.229516,-0.6170808,-10.43275,-3.664969,14.71037,-0.8434248,0.5968676,-0.5332389,55.24679,15.26863,0.6339648,-0.7903055,0.4884162,-0.1362864,78.79008,-0.1179358,0.0,-0.8059639,0.07369411,-0.1629906,5.469022,-0.7147188,-11.65667,-0.7002347,0.6016302,-0.5939279,4.346138,34.50459,34.9025,-0.4211303,0.2962891,-0.5619542,72.28682,37.20475,-22.77164,-0.4751421,0.07347779,-0.9089276,55.04845,26.60223,10.14709,-0.8651672,1.050612,-0.6066374,-0.9886019,1.058557,-0.6442285,-19.66459,10.51607,14.71351,40.88727,-1.1e-05,37.73328,-0.7302424,1.045571,-0.5990278,-0.6027939,1.03813,-0.6193708,17.78349,6.621521,-16.30696,76.17458,-0.000139643,-50.74063,-1.127191,0.5916464,-0.7245263,-21.8532,-15.13895,-2.939049,-0.6029563,0.8018451,-0.2783794,14.5494,1.048283,-0.132704
117.0,-0.7717604,0.5992487,-0.5636333,17.47561,9.040342,21.30477,-0.8006757,0.9302979,-0.630038,-4.159913,-1.863938,-3.303398,-0.7863938,1.229516,-0.6174365,-10.45837,-3.664923,14.98795,-0.8433402,0.5968738,-0.5332521,55.22902,15.31032,0.6474031,-0.790327,0.4884129,-0.136288,78.78529,-0.1240171,0.0,-0.8059577,0.0736886,-0.1629741,5.451005,-0.720244,-11.63579,-0.7001806,0.6016237,-0.5940145,4.36444,34.49199,34.86584,-0.4210774,0.2962894,-0.561966,72.30476,37.2074,-22.7648,-0.4751428,0.07347903,-0.9089316,55.0551,26.59329,10.14608,-0.8653175,1.050565,-0.6067896,-0.9886923,1.058753,-0.6445248,-20.64532,10.03729,14.09411,42.65068,-2.05e-05,37.01523,-0.7303804,1.04562,-0.5993363,-0.6029827,1.03833,-0.6200491,18.01838,6.666004,-16.36946,76.0032,-0.000118571,-50.7048,-1.123931,0.5934415,-0.7221024,-22.62731,-14.36269,-2.887985,-0.6016721,0.8021494,-0.2783998,14.62922,1.119888,-0.1440177
133.0,-0.7716799,0.5992431,-0.5636806,17.48526,9.04885,21.32888,-0.8007578,0.9302782,-0.6302266,-4.121175,-1.829409,-3.243531,-0.7866521,1.229513,-0.6178401,-10.47354,-3.664597,15.28431,-0.8432462,0.5968741,-0.5332673,55.21284,15.34959,0.6578966,-0.7903458,0.4884096,-0.1362891,78.78142,-0.1314829,0.0,-0.8059514,0.07368329,-0.1629576,5.43437,-0.7251008,-11.61886,-0.7001136,0.6016121,-0.5940939,4.379627,34.48008,34.82669,-0.4210161,0.29628,-0.5619748,72.32528,37.2035,-22.75797,-0.4751434,0.07347904,-0.9089367,55.06644,26.57987,10.14251,-0.8654577,1.050516,-0.6069909,-0.9887324,1.058942,-0.6449999,-21.72383,9.614436,13.09003,44.88162,-2.02e-05,35.68324,-0.7305099,1.045667,-0.599669,-0.6031727,1.038596,-0.6208243,18.24948,6.687563,-16.41496,75.81866,-9.51e-05,-50.45942,-1.12015,0.5958666,-0.7183884,-23.98781,-13.57011,-2.89577,-0.6000838,0.8025486,-0.2784621,14.70172,1.231439,-0.1582588
150.0,-0.7715884,0.59923,-0.5637144,17.4954,9.054047,21.34352,-0.8008134,0.9302524,-0.6304319,-4.074676,-1.795716,-3.184629,-0.7868882,1.229505,-0.6182976,-10.48331,-3.655287,15.58293,-0.8431464,0.5968668,-0.5332814,55.19886,15.38055,0.6664661,-0.7903677,0.4884041,-0.1362865,78.7785,-0.1383419,0.0,-0.8059442,0.07367563,-0.1629395,5.417648,-0.731382,-11.60349,-0.7000303,0.6015931,-0.5941474,4.38575,34.47278,34.80593,-0.420943,0.2962571,-0.561978,72.34408,37.20483,-22.75562,-0.4751441,0.07347891,-0.9089431,55.08021,26.5652,10.13669,-0.8655698,1.050466,-0.6072264,-0.9887115,1.059162,-0.6456037,-22.78959,9.266604,12.19081,46.98548,-2.94e-05,34.14754,-0.7306117,1.045712,-0.6000334,-0.6033347,1.038866,-0.6216205,18.42298,6.72555,-16.41595,75.61922,-0.000110381,-50.0968,-1.116531,0.5985878,-0.7161562,-25.55828,-13.5325,-3.082864,-0.5981659,0.8028963,-0.2785487,14.80013,1.346431,-0.174713
