Timestamp,RightWrist_flexion,RightWrist_adduction,RightWrist_flexion_velocity,RightWrist_adduction_velocity,LeftWrist_flexion,LeftWrist_adduction,LeftWrist_flexion_velocity,LeftWrist_adduction_velocity,steer_proxy,steer_label
0,-6.113306,-9.256166,0.0,0.0,49.07803,-5.132526,0.0,0.0,0.06269245000000101,neutral
17,-6.146215,-9.23122,-1.974564,1.496716,52.0108,-3.535368,175.9657,95.82952,0.04713995000000093,neutral
33,-6.171141,-9.277351,-1.495514,-2.767868,52.01046,-3.53503,-0.0201416,0.02024174,0.015852450000000573,neutral
50,-6.204409,-9.303046,-1.996078,-1.541691,52.00435,-3.53308,-0.3664398,0.1170158,-0.015143649999999731,neutral
67,-6.204282,-9.304372,0.007610322,-0.07953645,51.99182,-3.540994,-0.751877,-0.4748297,-0.01545255000000001,neutral
83,-6.242212,-9.341026,-2.275829,-2.199268,51.97406,-3.551775,-1.065445,-0.6468342,-0.05299975000000057,neutral
100,-6.238442,-9.349049,0.2261925,-0.4813386,51.97132,-3.553668,-0.1645661,-0.1135969,-0.05276765000000072,neutral
117,-6.258273,-9.370287,-1.189842,-1.2743,51.95951,-3.562953,-0.7088472,-0.5570984,-0.07302074999999952,neutral
133,-6.275793,-9.380281,-1.051169,-0.5996705,51.94425,-3.579917,-0.9155275,-1.017866,-0.08828294999999908,neutral
150,-6.262375,-9.395579,0.8050344,-0.9178731,51.93472,-3.598817,-0.5717466,-1.134009,-0.08347974999999952,neutral
167,-6.24507,-9.399723,1.038322,-0.2486228,51.94013,-3.636256,0.3247832,-2.246346,-0.07260944999999985,neutral
183,-6.2526,-9.453887,-0.451813,-3.249838,51.90306,-3.636865,-2.224046,-0.03652098,-0.09412964999999929,neutral
200,-6.179744,-9.389291,4.371384,3.875769,51.89291,-3.65529,-0.6090544,-1.105513,-0.023751650000000346,neutral
217,-6.127463,-9.448211,3.136825,-3.535193,51.88738,-3.676471,-0.3321075,-1.270837,-0.0048309499999996675,neutral
233,-6.112183,-9.451658,0.9168153,-0.2068521,51.88144,-3.695426,-0.3565981,-1.1373,0.0048309499999996675,neutral
250,-5.994792,-9.461469,7.043464,-0.5886267,51.8826,-3.707944,0.06958006,-0.7511041,0.0840613500000007,neutral
267,-5.860065,-9.524955,8.083653,-3.809168,51.91051,-3.732579,1.675187,-1.478048,0.15932445000000062,neutral
283,-5.635273,-9.570957,13.48745,-2.76014,51.88702,-3.721403,-1.40991,0.6705085,0.30287825,neutral
300,-5.404937,-9.572865,13.82018,-0.1144982,51.88699,-3.718974,-0.001602174,0.1457406,0.4635410500000008,neutral
317,-5.067785,-9.641961,20.22913,-4.145739,51.90132,-3.71894,0.8596807,0.002045633,0.6788186500000011,neutral
333,-5.020242,-9.92151,2.852579,-16.7729,51.92145,-3.719861,1.208037,-0.05523198,0.6282340500000005,neutral
350,-5.058653,-10.0735,-2.30467,-9.119516,51.95408,-3.723057,1.957628,-0.1917602,0.555749350000001,neutral
367,-5.028158,-10.18148,1.82974,-6.478676,51.92255,-3.755417,-1.891481,-1.94162,0.54470185,neutral
383,-5.040767,-10.38829,-0.7565394,-12.40853,51.86723,-3.776419,-3.319698,-1.260122,0.47383255,neutral
400,-5.40345,-10.64229,-21.76104,-15.24011,51.835,-3.824738,-1.933366,-2.899105,0.1437544500000003,neutral
417,-5.364762,-10.698,2.321321,-3.342707,51.61317,-3.868097,-13.30995,-2.601587,0.15412304999999993,neutral
433,-5.555732,-10.79691,-11.45818,-5.934327,51.19883,-3.906383,-24.86066,-2.297127,-0.009228949999999791,neutral
450,-5.83694,-10.95637,-16.87249,-9.56761,50.91178,-3.914681,-17.22268,-0.4978755,-0.2539125499999999,neutral
467,-5.967031,-11.09981,-7.805476,-8.606306,50.30726,-3.868951,-36.27116,2.743766,-0.3880082499999995,neutral
483,-6.073831,-11.27194,-6.407997,-10.32799,49.73985,-3.856398,-34.04499,0.7532206,-0.5144072500000005,neutral
500,-6.468872,-11.36971,-23.70247,-5.866417,49.3897,-3.845095,-21.00885,0.678163,-0.8202669499999997,neutral
517,-6.762309,-11.42417,-17.60617,-3.26717,49.11007,-3.809787,-16.77748,2.118456,-1.0420108499999996,neutral
533,-6.730126,-11.62577,1.930966,-12.09609,48.76894,-3.740927,-20.46804,4.131628,-1.079962749999999,neutral
550,-6.941305,-11.78922,-12.67071,-9.807345,48.4656,-3.648679,-18.20043,5.5349,-1.27682305,neutral
567,-7.42497,-11.94022,-29.01986,-9.060104,48.31636,-3.626595,-8.954076,1.325038,-1.6606885499999988,neutral
583,-7.638307,-12.05054,-12.80025,-6.619107,48.10494,-3.538982,-12.68558,5.256771,-1.8431204499999998,neutral
600,-7.457247,-12.28771,10.86358,-14.2298,47.82262,-3.471995,-16.93929,4.019232,-1.78752945,neutral
617,-7.724359,-12.38282,-16.02672,-5.706589,47.41497,-3.470168,-24.45851,0.10962,-2.0030408499999988,neutral
633,-8.135908,-12.37781,-24.69301,0.3004082,46.94812,-3.494951,-28.01109,-1.48702,-2.2896221500000005,neutral
650,-8.256473,-12.61483,-7.233859,-14.2215,46.0264,-3.549165,-55.3035,-3.252793,-2.4451236499999984,neutral
667,-8.378034,-12.79478,-7.293654,-10.79669,45.10933,-3.748675,-55.02381,-11.97063,-2.58420135,neutral
683,-8.568228,-12.51915,-11.41168,16.53767,44.47128,-3.91613,-38.28333,-10.04731,-2.6346481499999994,neutral
700,-8.590845,-12.32432,-1.357039,11.68978,43.60487,-4.142916,-51.98449,-13.60712,-2.5920310499999983,neutral
717,-8.300424,-12.68015,17.42527,-21.34933,42.31003,-4.404116,-77.69019,-15.67198,-2.4954853499999983,neutral
733,-8.417274,-12.60061,-7.011011,4.772255,40.99898,-4.733475,-78.66322,-19.76162,-2.5534183500000003,neutral
750,-8.645679,-12.39054,-13.70428,12.60416,40.12728,-4.94437,-52.30195,-12.65369,-2.650280849999999,neutral
767,-8.585151,-12.37898,3.631664,0.6935683,38.3815,-4.816591,-104.7465,7.666731,-2.60444325,neutral
783,-8.336587,-12.53307,14.91386,-9.245419,36.65858,-4.775757,-103.3759,2.450043,-2.4766754499999992,neutral
800,-8.25916,-12.0539,4.645609,28.74998,35.58191,-5.043887,-64.59976,-16.08777,-2.27872555,neutral
817,-8.313235,-11.72373,-3.24451,19.81044,34.56173,-5.361388,-61.21117,-19.05001,-2.21752705,neutral
833,-8.03805,-11.87591,16.51118,-9.131206,33.23819,-5.867786,-79.41235,-30.38397,-2.0705515499999985,neutral
850,-8.038245,-11.78035,-0.01173018,5.733941,31.79464,-6.316411,-86.61267,-26.9175,-2.0420200499999988,neutral
867,-8.059003,-11.41621,-1.245459,21.84818,30.91892,-6.602556,-52.54308,-17.16863,-1.9473086499999992,neutral
883,-8.021792,-11.19768,2.232633,13.11216,29.45566,-6.987767,-87.79597,-23.11272,-1.8557019499999994,neutral
900,-7.728347,-11.3558,17.60669,-9.487656,27.76425,-7.389743,-101.4848,-24.11854,-1.6977264500000002,neutral
917,-7.978704,-10.83935,-15.02141,30.98696,26.43781,-7.638693,-79.58612,-14.93701,-1.7180413499999991,neutral
933,-8.124002,-10.66238,-8.717901,10.61866,25.49896,-7.814545,-56.33093,-10.55114,-1.766658950000001,neutral
950,-8.02211,-10.75424,6.113541,-5.511926,24.03811,-8.007351,-87.65088,-11.56833,-1.72289255,neutral
967,-7.944679,-10.79507,4.645866,-2.449548,22.17853,-8.395785,-111.5747,-23.30604,-1.6809398499999988,neutral
983,-7.969325,-10.57896,-1.478752,12.96642,20.90714,-8.713568,-76.28398,-19.06699,-1.6333590500000001,neutral
1000,-7.932885,-10.368,2.186391,12.65761,19.32413,-9.051253,-94.98035,-20.26111,-1.5445630499999998,neutral
1017,-7.632215,-10.52318,18.04016,-9.310444,17.60357,-9.185461,-103.2335,-8.052454,-1.3806480500000005,neutral
1033,-7.581858,-10.4185,3.021437,6.280396,16.09688,-9.479067,-90.40135,-17.61633,-1.31399415,neutral
1050,-7.595486,-10.20027,-0.8176823,13.09379,15.26162,-9.637008,-50.11546,-9.476475,-1.25806475,neutral
1067,-7.403931,-10.0958,11.4933,6.268116,13.52333,-9.98536,-104.2976,-20.9012,-1.0926352499999998,neutral
1083,-7.11254,-10.08917,17.48337,0.3979091,11.65721,-10.33208,-111.9668,-20.80303,-0.8866725499999992,neutral
1100,-7.070021,-9.82597,2.551152,15.7922,10.32855,-10.56155,-79.71968,-13.76848,-0.7779492499999998,neutral
1117,-7.117944,-9.516097,-2.875392,18.5924,9.149933,-10.74707,-70.71716,-11.13089,-0.7185334499999989,neutral
1133,-6.796186,-9.47447,19.30537,2.497604,7.703853,-11.00478,-86.76439,-15.46261,-0.4808147499999995,neutral
1150,-6.737757,-9.200231,3.505792,16.45441,6.589904,-11.22391,-66.83709,-13.14775,-0.35764274999999923,neutral
1167,-6.78813,-8.777667,-3.022392,25.35387,6.112696,-11.35585,-28.63253,-7.916413,-0.2661346499999988,neutral
1183,-6.692225,-8.3998,5.75429,22.67189,5.29587,-11.46949,-49.00934,-6.818643,-0.08564104999999955,neutral
1200,-6.318293,-8.234933,22.43594,9.892068,4.412419,-11.59497,-53.00716,-7.528915,0.22557145000000034,neutral
1217,-6.44202,-7.79229,-7.423657,26.55863,3.828634,-11.62583,-35.02723,-1.851144,0.27175545000000056,neutral
1233,-6.56477,-7.429396,-7.364924,21.77354,3.433534,-11.63782,-23.70586,-0.7197154,0.29469864999999995,neutral
1250,-6.326573,-7.214608,14.29182,12.88734,2.859855,-11.69555,-34.42084,-3.463506,0.5258729500000001,neutral
1267,-6.255108,-6.954122,4.287911,15.62918,2.299165,-11.75161,-33.64145,-3.363541,0.654044250000001,neutral
1283,-6.249119,-6.613468,0.3593713,20.43913,2.069709,-11.81527,-13.76733,-3.819733,0.7604327500000005,neutral
1300,-6.159693,-6.25777,5.365547,21.34197,1.876593,-11.84704,-11.58696,-1.906476,0.9297403500000003,neutral
1317,-5.935873,-6.020959,13.42924,14.20865,1.66906,-11.9509,-12.45199,-6.231552,1.1574576500000004,neutral
1333,-5.95674,-5.783305,-1.252006,14.25921,1.41596,-12.08893,-15.18596,-8.281534,1.2141469500000008,neutral
1350,-5.985334,-5.631725,-1.715645,9.094785,1.439535,-12.14852,1.414486,-3.575658,1.23960515,neutral
1367,-5.908334,-5.407996,4.62002,13.42381,1.283747,-12.17167,-9.347285,-1.389202,1.3606238500000005,neutral
1383,-5.712544,-5.195007,11.7473,12.77924,1.232894,-12.02716,-3.051166,8.670574,1.5615735499999994,neutral
1400,-5.607556,-5.054353,6.299301,8.439266,1.199589,-11.85266,-1.998301,10.47051,1.677261350000001,neutral
1417,-5.625701,-4.863417,-1.088679,11.45622,1.150801,-11.6462,-2.927291,12.38763,1.7218406499999999,neutral
1433,-5.449854,-4.69591,10.55077,10.05032,1.060171,-11.5517,-5.437741,5.669604,1.8951856500000002,neutral
1450,-5.265517,-4.582572,11.06023,6.800354,0.9646922,-11.12834,-5.728765,25.40154,2.05822295,neutral
1467,-5.127055,-4.464345,8.307744,7.093609,0.8888945,-10.91531,-4.547872,12.78222,2.19061445,neutral
1483,-5.053926,-4.414279,4.387729,3.003973,0.8650193,-10.48449,-1.432507,25.8487,2.256824550000001,neutral
1500,-4.827346,-4.330265,13.59484,5.040849,0.8190054,-9.990526,-2.760837,29.63815,2.44063475,neutral
1517,-4.709814,-4.293952,7.051924,2.178731,0.7793398,-9.611347,-2.379941,22.7508,2.53380105,neutral
1533,-4.71854,-4.127647,-0.5235646,9.978284,0.7530347,-9.391985,-1.578301,13.16167,2.5775843500000004,neutral
1550,-4.548724,-4.007174,10.18899,7.228392,0.7412493,-8.994913,-0.7071286,23.82437,2.73259745,neutral
1567,-4.418585,-3.900972,7.808352,6.372115,0.699975,-8.693603,-2.476461,18.07868,2.8555553500000004,neutral
1583,-4.312479,-3.811805,6.366346,5.350044,0.6422443,-8.478131,-3.463827,12.92821,2.956579650000001,neutral
1600,-4.137774,-3.738142,10.48233,4.419776,0.6578966,-8.275186,0.9391402,12.17677,3.10097205,neutral
1617,-3.991303,-3.633089,8.788282,6.303178,0.6567059,-7.900799,-0.07144349,22.46326,3.2350176500000005,neutral
1633,-3.785739,-3.529191,12.3338,6.233824,0.6376578,-7.542981,-1.142877,21.46895,3.41008185,neutral
1650,-3.644165,-3.440696,8.494441,5.309742,0.6119779,-7.324846,-1.540801,13.08815,3.5357321500000003,neutral
1667,-3.551705,-3.323103,5.547594,7.055572,0.4419051,-7.1374,-10.20439,11.24677,3.6357320500000005,neutral
1683,-3.423369,-3.277932,7.700162,2.710262,0.4087828,-6.766628,-1.987334,22.2462,3.7391185500000006,neutral
1700,-3.336539,-3.192251,5.209793,5.140899,0.2914124,-6.524601,-7.042237,14.52167,3.8256038500000003,neutral
1717,-3.237247,-3.051867,5.957523,8.42303,0.165511,-6.30839,-7.554103,12.97271,3.9372234500000003,neutral
1733,-3.139184,-2.920941,5.88378,7.85553,-0.05595291,-6.057175,-13.28777,15.0728,4.04514535,neutral
1750,-3.035575,-2.749516,6.21656,10.28556,-0.386643,-5.906384,-19.84146,9.047463,4.16909915,neutral
1767,-2.912621,-2.507739,7.377252,14.50665,-0.5868416,-5.847393,-12.01195,3.539523,4.327700050000001,neutral
1783,-2.90798,-2.25708,0.278462,15.03947,-0.9348176,-5.715468,-20.87846,7.915439,4.40614645,neutral
1800,-2.793582,-2.116499,6.863854,8.434832,-1.231147,-5.534926,-17.77978,10.83252,4.528399350000001,neutral
1817,-2.803166,-1.839878,-0.5750098,16.59731,-1.504802,-5.361444,-16.41937,10.409,4.604676850000001,neutral
1833,-2.789305,-1.589912,0.8316524,14.9979,-1.631109,-5.246031,-7.578369,6.9247,4.68936935,neutral
1850,-2.758467,-1.396574,1.8503,11.6003,-1.904748,-5.071252,-16.41839,10.48676,4.768957350000001,neutral
1867,-2.905555,-1.162283,-8.825348,14.05749,-2.182206,-5.010013,-16.6475,3.674364,4.736283050000001,neutral
1883,-2.874261,-0.8135346,1.877652,20.92481,-2.395227,-4.967999,-12.78121,2.520864,4.86281337,neutral
1900,-2.808677,-0.4488788,3.935061,21.8794,-2.720237,-4.975042,-19.50068,-0.4226027,5.01811891,neutral
1917,-2.806446,-0.2074084,0.1338533,14.48826,-3.022196,-4.952893,-18.11756,1.32892,5.092121730000001,neutral
1933,-2.956382,0.1927046,-8.996085,24.00666,-3.366448,-4.935966,-20.65504,1.01563,5.107200430000001,neutral
1950,-3.013764,0.5407176,-3.442935,20.88083,-3.596899,-4.927575,-13.82704,0.5034841,5.1714369300000005,neutral
1967,-3.058831,0.7475099,-2.704045,12.40757,-3.966991,-4.945729,-22.20563,-1.08928,5.2019277200000005,neutral
1983,-3.066884,0.9297776,-0.4831958,10.93601,-4.250219,-5.018837,-16.99359,-4.38647,5.25097093,neutral
2000,-3.094273,1.137025,-1.643347,12.43486,-4.500803,-5.107019,-15.03503,-5.290931,5.29397285,neutral
2017,-3.259186,1.398922,-9.8948,15.7139,-4.747058,-5.187823,-14.77539,-4.848244,5.25710285,neutral
2033,-3.402948,1.585736,-8.625642,11.20878,-5.045778,-5.259524,-17.92311,-4.302013,5.21251365,neutral
2050,-3.360161,1.80495,2.567188,13.15282,-5.322849,-5.329684,-16.62427,-4.209605,5.30822875,neutral
2067,-3.257924,2.085925,6.134189,16.85845,-5.551144,-5.353855,-13.69765,-1.450274,5.46408715,neutral
2083,-3.150141,2.312125,6.467091,13.57211,-5.823088,-5.384797,-16.31677,-1.856507,5.60739525,neutral
2100,-3.313989,2.440733,-9.830871,7.716485,-6.262846,-5.435413,-26.38534,-3.03699,5.53128405,neutral
2117,-3.446113,2.754669,-7.92737,18.83604,-6.546313,-5.477206,-17.00798,-2.507531,5.5329780500000005,neutral
2133,-3.570016,3.082325,-7.434255,19.65952,-6.837187,-5.499434,-17.45261,-1.333736,5.544542750000001,neutral
2150,-3.707923,3.319465,-8.27441,14.22838,-7.143942,-5.544772,-18.40519,-2.720219,5.51914985,neutral
2167,-3.768943,3.600507,-3.661162,16.86242,-7.532181,-5.636751,-23.29422,-5.518743,5.56074845,neutral
2183,-4.184463,3.83998,-24.93143,14.36853,-7.875418,-5.753372,-20.59444,-6.997301,5.34172635,neutral
2200,-4.564629,4.105037,-22.80988,15.90335,-8.271442,-5.91036,-23.76134,-9.419271,5.15512725,neutral
2217,-4.641398,4.246976,-4.606139,8.516279,-8.8052,-6.12677,-32.02528,-12.98449,5.14397065,neutral
2233,-5.02426,4.416122,-22.97192,10.14889,-9.222792,-6.387362,-25.05577,-15.6357,4.92671105,neutral
2250,-5.279008,4.575909,-15.2848,9.587127,-9.41603,-6.522977,-11.59424,-8.136852,4.79632355,neutral
2267,-5.47647,4.635616,-11.84767,3.582441,-9.878185,-6.87529,-27.72919,-21.13868,4.67601225,neutral
2283,-5.412401,4.737418,3.844165,6.108143,-10.31826,-7.229459,-26.40464,-21.25034,4.75140115,neutral
2300,-5.727005,4.863715,-18.87617,7.577783,-10.7467,-7.528721,-25.70611,-17.95566,4.56906745,neutral
2317,-6.177428,4.990409,-27.02521,7.601615,-11.08813,-7.837012,-20.4858,-18.49737,4.291779549999999,neutral
2333,-6.352954,5.004756,-10.53167,0.8608616,-11.59439,-8.147849,-30.37584,-18.65039,4.17321545,neutral
2350,-6.823777,5.05012,-28.24926,2.721821,-12.07837,-8.371338,-29.03896,-13.40926,3.85724855,neutral
2367,-7.169681,5.246892,-20.75413,11.80627,-12.22284,-8.50683,-8.668056,-8.129499,3.674147350000001,neutral
2383,-7.36599,5.39654,-11.77866,8.978922,-12.55693,-8.698972,-20.0455,-11.5286,3.5816254499999998,neutral
2400,-7.551202,5.416153,-11.11265,1.176819,-12.84306,-8.894944,-17.16811,-11.75829,3.4578609500000006,neutral
2417,-7.765235,5.67062,-12.84195,15.26792,-13.03987,-9.066112,-11.80813,-10.26999,3.38437795,neutral
2433,-8.121512,5.839568,-21.37683,10.13696,-13.08114,-9.179028,-2.476354,-6.775026,3.1856684500000005,neutral
2450,-8.299406,5.902905,-10.67357,3.800192,-13.09934,-9.455055,-1.09199,-16.56158,3.0801437500000013,neutral
2467,-8.408566,6.053502,-6.549593,9.035782,-13.14122,-9.823017,-2.513053,-22.0776,3.0489108499999995,neutral
2483,-8.516545,6.175348,-6.478793,7.310872,-13.2521,-10.06605,-6.652744,-14.58192,3.0098793499999994,neutral
