joint,unreal_bone,src_pitch_col,src_yaw_col,src_roll_col,addr_pitch,addr_yaw,addr_roll
mixamorig:Hips,pelvis,pitch_deg,yaw_deg,roll_deg,/bone/pelvis/pitch,/bone/pelvis/yaw,/bone/pelvis/roll
mixamorig:Spine,spine_01,pitch_deg,yaw_deg,roll_deg,/bone/spine_01/pitch,/bone/spine_01/yaw,/bone/spine_01/roll
mixamorig:Spine1,spine_02,pitch_deg,yaw_deg,roll_deg,/bone/spine_02/pitch,/bone/spine_02/yaw,/bone/spine_02/roll
mixamorig:Spine2,spine_03,pitch_deg,yaw_deg,roll_deg,/bone/spine_03/pitch,/bone/spine_03/yaw,/bone/spine_03/roll
mixamorig:Neck,neck_01,pitch_deg,yaw_deg,roll_deg,/bone/neck_01/pitch,/bone/neck_01/yaw,/bone/neck_01/roll
mixamorig:Head,head,pitch_deg,yaw_deg,roll_deg,/bone/head/pitch,/bone/head/yaw,/bone/head/roll
mixamorig:RightShoulder,clavicle_r,pitch_deg,yaw_deg,roll_deg,/bone/clavicle_r/pitch,/bone/clavicle_r/yaw,/bone/clavicle_r/roll
mixamorig:RightArm,upperarm_r,pitch_deg,yaw_deg,roll_deg,/bone/upperarm_r/pitch,/bone/upperarm_r/yaw,/bone/upperarm_r/roll
mixamorig:RightForeArm,lowerarm_r,pitch_deg,yaw_deg,roll_deg,/bone/lowerarm_r/pitch,/bone/lowerarm_r/yaw,/bone/lowerarm_r/roll
mixamorig:RightHand,hand_r,pitch_deg,yaw_deg,roll_deg,/bone/hand_r/pitch,/bone/hand_r/yaw,/bone/hand_r/roll
mixamorig:LeftShoulder,clavicle_l,pitch_deg,yaw_deg,roll_deg,/bone/clavicle_l/pitch,/bone/clavicle_l/yaw,/bone/clavicle_l/roll
mixamorig:LeftArm,upperarm_l,pitch_deg,yaw_deg,roll_deg,/bone/upperarm_l/pitch,/bone/upperarm_l/yaw,/bone/upperarm_l/roll
mixamorig:LeftForeArm,lowerarm_l,pitch_deg,yaw_deg,roll_deg,/bone/lowerarm_l/pitch,/bone/lowerarm_l/yaw,/bone/lowerarm_l/roll
mixamorig:LeftHand,hand_l,pitch_deg,yaw_deg,roll_deg,/bone/hand_l/pitch,/bone/hand_l/yaw,/bone/hand_l/roll
mixamorig:RightHandThumb1,thumb_01_r,pitch_deg,yaw_deg,roll_deg,/bone/thumb_01_r/pitch,/bone/thumb_01_r/yaw,/bone/thumb_01_r/roll
mixamorig:RightHandThumb2,thumb_02_r,pitch_deg,yaw_deg,roll_deg,/bone/thumb_02_r/pitch,/bone/thumb_02_r/yaw,/bone/thumb_02_r/roll
mixamorig:RightHandThumb3,thumb_03_r,pitch_deg,yaw_deg,roll_deg,/bone/thumb_03_r/pitch,/bone/thumb_03_r/yaw,/bone/thumb_03_r/roll
mixamorig:RightHandIndex1,index_01_r,pitch_deg,yaw_deg,roll_deg,/bone/index_01_r/pitch,/bone/index_01_r/yaw,/bone/index_01_r/roll
mixamorig:RightHandIndex2,index_02_r,pitch_deg,yaw_deg,roll_deg,/bone/index_02_r/pitch,/bone/index_02_r/yaw,/bone/index_02_r/roll
mixamorig:RightHandIndex3,index_03_r,pitch_deg,yaw_deg,roll_deg,/bone/index_03_r/pitch,/bone/index_03_r/yaw,/bone/index_03_r/roll
mixamorig:RightHandMiddle1,middle_01_r,pitch_deg,yaw_deg,roll_deg,/bone/middle_01_r/pitch,/bone/middle_01_r/yaw,/bone/middle_01_r/roll
mixamorig:RightHandMiddle2,middle_02_r,pitch_deg,yaw_deg,roll_deg,/bone/middle_02_r/pitch,/bone/middle_02_r/yaw,/bone/middle_02_r/roll
mixamorig:RightHandMiddle3,middle_03_r,pitch_deg,yaw_deg,roll_deg,/bone/middle_03_r/pitch,/bone/middle_03_r/yaw,/bone/middle_03_r/roll
mixamorig:RightHandRing1,ring_01_r,pitch_deg,yaw_deg,roll_deg,/bone/ring_01_r/pitch,/bone/ring_01_r/yaw,/bone/ring_01_r/roll
mixamorig:RightHandRing2,ring_02_r,pitch_deg,yaw_deg,roll_deg,/bone/ring_02_r/pitch,/bone/ring_02_r/yaw,/bone/ring_02_r/roll
mixamorig:RightHandRing3,ring_03_r,pitch_deg,yaw_deg,roll_deg,/bone/ring_03_r/pitch,/bone/ring_03_r/yaw,/bone/ring_03_r/roll
mixamorig:RightHandPinky1,pinky_01_r,pitch_deg,yaw_deg,roll_deg,/bone/pinky_01_r/pitch,/bone/pinky_01_r/yaw,/bone/pinky_01_r/roll
mixamorig:RightHandPinky2,pinky_02_r,pitch_deg,yaw_deg,roll_deg,/bone/pinky_02_r/pitch,/bone/pinky_02_r/yaw,/bone/pinky_02_r/roll
mixamorig:RightHandPinky3,pinky_03_r,pitch_deg,yaw_deg,roll_deg,/bone/pinky_03_r/pitch,/bone/pinky_03_r/yaw,/bone/pinky_03_r/roll
