mixamo_joint,unreal_bone,osc_address
mixamorig:Hips,pelvis,/bone/pelvis/pitch
mixamorig:Hips,pelvis,/bone/pelvis/yaw
mixamorig:Hips,pelvis,/bone/pelvis/roll
mixamorig:Spine,spine_01,/bone/spine_01/pitch
mixamorig:Spine,spine_01,/bone/spine_01/yaw
mixamorig:Spine,spine_01,/bone/spine_01/roll
mixamorig:Spine1,spine_02,/bone/spine_02/pitch
mixamorig:Spine1,spine_02,/bone/spine_02/yaw
mixamorig:Spine1,spine_02,/bone/spine_02/roll
mixamorig:Spine2,spine_03,/bone/spine_03/pitch
mixamorig:Spine2,spine_03,/bone/spine_03/yaw
mixamorig:Spine2,spine_03,/bone/spine_03/roll
mixamorig:Neck,neck_01,/bone/neck_01/pitch
mixamorig:Neck,neck_01,/bone/neck_01/yaw
mixamorig:Neck,neck_01,/bone/neck_01/roll
mixamorig:Head,head,/bone/head/pitch
mixamorig:Head,head,/bone/head/yaw
mixamorig:Head,head,/bone/head/roll
mixamorig:RightShoulder,clavicle_r,/bone/clavicle_r/pitch
mixamorig:RightShoulder,clavicle_r,/bone/clavicle_r/yaw
mixamorig:RightShoulder,clavicle_r,/bone/clavicle_r/roll
mixamorig:RightArm,upperarm_r,/bone/upperarm_r/pitch
mixamorig:RightArm,upperarm_r,/bone/upperarm_r/yaw
mixamorig:RightArm,upperarm_r,/bone/upperarm_r/roll
mixamorig:RightForeArm,lowerarm_r,/bone/lowerarm_r/pitch
mixamorig:RightForeArm,lowerarm_r,/bone/lowerarm_r/yaw
mixamorig:RightForeArm,lowerarm_r,/bone/lowerarm_r/roll
mixamorig:RightHand,hand_r,/bone/hand_r/pitch
mixamorig:RightHand,hand_r,/bone/hand_r/yaw
mixamorig:RightHand,hand_r,/bone/hand_r/roll
mixamorig:RightHandThumb1,thumb_01_r,/bone/thumb_01_r/pitch
mixamorig:RightHandThumb1,thumb_01_r,/bone/thumb_01_r/yaw
mixamorig:RightHandThumb1,thumb_01_r,/bone/thumb_01_r/roll
mixamorig:RightHandThumb2,thumb_02_r,/bone/thumb_02_r/pitch
mixamorig:RightHandThumb2,thumb_02_r,/bone/thumb_02_r/yaw
mixamorig:RightHandThumb2,thumb_02_r,/bone/thumb_02_r/roll
mixamorig:RightHandThumb3,thumb_03_r,/bone/thumb_03_r/pitch
mixamorig:RightHandThumb3,thumb_03_r,/bone/thumb_03_r/yaw
mixamorig:RightHandThumb3,thumb_03_r,/bone/thumb_03_r/roll
mixamorig:RightHandIndex1,index_01_r,/bone/index_01_r/pitch
mixamorig:RightHandIndex1,index_01_r,/bone/index_01_r/yaw
mixamorig:RightHandIndex1,index_01_r,/bone/index_01_r/roll
mixamorig:RightHandIndex2,index_02_r,/bone/index_02_r/pitch
mixamorig:RightHandIndex2,index_02_r,/bone/index_02_r/yaw
mixamorig:RightHandIndex2,index_02_r,/bone/index_02_r/roll
mixamorig:RightHandIndex3,index_03_r,/bone/index_03_r/pitch
mixamorig:RightHandIndex3,index_03_r,/bone/index_03_r/yaw
mixamorig:RightHandIndex3,index_03_r,/bone/index_03_r/roll
mixamorig:RightHandMiddle1,middle_01_r,/bone/middle_01_r/pitch
mixamorig:RightHandMiddle1,middle_01_r,/bone/middle_01_r/yaw
mixamorig:RightHandMiddle1,middle_01_r,/bone/middle_01_r/roll
mixamorig:RightHandMiddle2,middle_02_r,/bone/middle_02_r/pitch
mixamorig:RightHandMiddle2,middle_02_r,/bone/middle_02_r/yaw
mixamorig:RightHandMiddle2,middle_02_r,/bone/middle_02_r/roll
mixamorig:RightHandMiddle3,middle_03_r,/bone/middle_03_r/pitch
mixamorig:RightHandMiddle3,middle_03_r,/bone/middle_03_r/yaw
mixamorig:RightHandMiddle3,middle_03_r,/bone/middle_03_r/roll
mixamorig:RightHandRing1,ring_01_r,/bone/ring_01_r/pitch
mixamorig:RightHandRing1,ring_01_r,/bone/ring_01_r/yaw
mixamorig:RightHandRing1,ring_01_r,/bone/ring_01_r/roll
mixamorig:RightHandRing2,ring_02_r,/bone/ring_02_r/pitch
mixamorig:RightHandRing2,ring_02_r,/bone/ring_02_r/yaw
mixamorig:RightHandRing2,ring_02_r,/bone/ring_02_r/roll
mixamorig:RightHandRing3,ring_03_r,/bone/ring_03_r/pitch
mixamorig:RightHandRing3,ring_03_r,/bone/ring_03_r/yaw
mixamorig:RightHandRing3,ring_03_r,/bone/ring_03_r/roll
mixamorig:RightHandPinky1,pinky_01_r,/bone/pinky_01_r/pitch
mixamorig:RightHandPinky1,pinky_01_r,/bone/pinky_01_r/yaw
mixamorig:RightHandPinky1,pinky_01_r,/bone/pinky_01_r/roll
mixamorig:RightHandPinky2,pinky_02_r,/bone/pinky_02_r/pitch
mixamorig:RightHandPinky2,pinky_02_r,/bone/pinky_02_r/yaw
mixamorig:RightHandPinky2,pinky_02_r,/bone/pinky_02_r/roll
